Target Id,Target Label,Action Id,Action Label
137,ReplaceFilterForAirPurifier,395,fit on the filter
137,ReplaceFilterForAirPurifier,396,fit on the shell
137,ReplaceFilterForAirPurifier,397,press the resetting button
138,ReplaceLaptopScreen,504,take out the battery
138,ReplaceLaptopScreen,505,unscrew the screws used to fix the screen
138,ReplaceLaptopScreen,506,pull out the screen connector and remove the screen
138,ReplaceLaptopScreen,507,install the new screen
138,ReplaceLaptopScreen,508,reset and screw on the screws
139,ReplaceLightSocket,376,remove the light housing or shell and bulb
139,ReplaceLightSocket,377,remove the light socket and disconnect the wire
139,ReplaceLightSocket,378,connect the wire again
139,ReplaceLightSocket,379,install the light socket
139,ReplaceLightSocket,380,install the bulb and light housing or shell
140,ReplaceRefrigeratorWaterFilter,696,take out the old filter
140,ReplaceRefrigeratorWaterFilter,697,remove the cap of the new filter
140,ReplaceRefrigeratorWaterFilter,698,install the new filter
141,ReplaceSIMCard,532,use the needle to open the SIM card slot
141,ReplaceSIMCard,533,put the SIM card into the SIM card slot
141,ReplaceSIMCard,534,press the SIM card slot back
142,ReplaceSewingMachineNeedle,542,unscrew the screw and take out the needle
142,ReplaceSewingMachineNeedle,543,let the flat side of the new needle towards the jack and insert the new needle
142,ReplaceSewingMachineNeedle,544,screw on the screw
143,ReplaceRearviewMirrorGlass,7,remove the old rearview mirror
143,ReplaceRearviewMirrorGlass,8,cut off the electric wire
143,ReplaceRearviewMirrorGlass,9,reconnect the electric wire
143,ReplaceRearviewMirrorGlass,10,reinstall the rearview mirror
144,ReplaceGraphicsCard,182,take out the shell
144,ReplaceGraphicsCard,183,remove the old graphics card
144,ReplaceGraphicsCard,184,install the new graphics card
144,ReplaceGraphicsCard,185,fit on the shell
145,ReplaceHardDisk,589,open the laptop rear cover
145,ReplaceHardDisk,590,remove the old hard disk
145,ReplaceHardDisk,591,install the new hard disk
145,ReplaceHardDisk,592,install the laptop rear cover
146,ReplaceMemoryChip,369,take out the shell
146,ReplaceMemoryChip,370,remove the old memory chip
146,ReplaceMemoryChip,371,install the new memory chip
146,ReplaceMemoryChip,372,fit on the shell
147,ReplaceToiletSeat,129,take out the screws
147,ReplaceToiletSeat,130,remove the old toilet seat
147,ReplaceToiletSeat,131,install the new toilet seat
147,ReplaceToiletSeat,132,screw on the screws
148,ResizeWatchBand,250,aim at the pin
148,ResizeWatchBand,251,push the pin out
148,ResizeWatchBand,252,aim at the pin
148,ResizeWatchBand,253,push the pin out
148,ResizeWatchBand,254,remove the old watch band and reconnect
148,ResizeWatchBand,255,put the pin in
148,ResizeWatchBand,256,push the pin in
149,RewrapBattery,709,remove the old wrapper
149,RewrapBattery,710,wrap with the new wrapper
149,RewrapBattery,711,install the insulated shim
149,RewrapBattery,712,use the air pressure gun or hair drier to flatten the wrapper
150,RoastChestnut,11,cut a hole on the shell
150,RoastChestnut,12,clean up and soak
150,RoastChestnut,13,prepare and boil water
150,RoastChestnut,14,fry or roast or braise
150,RoastChestnut,15,take out the shell
151,SetUpAHamsterCage,421,clean the hamster box
151,SetUpAHamsterCage,422,pave the box bottom with paper scraps
151,SetUpAHamsterCage,423,set different kinds of hamster toys
151,SetUpAHamsterCage,424,put the hamster into the hamster cage
152,UseSewingMachine,93,put the thread on the spool
152,UseSewingMachine,94,twine round the thread
152,UseSewingMachine,95,thread thorugh the needle
153,ShaveBeard,699,apply cleansing milk to the face
153,ShaveBeard,700,shave roughly on the face
153,ShaveBeard,701,apply shaving cream to the face
153,ShaveBeard,702,shave carefully on the face
153,ShaveBeard,703,wipe up the face
153,ShaveBeard,704,do facial care carefully
154,PractiseSkiingAerials,651,ski down from the hill
154,PractiseSkiingAerials,652,ski up from the hill
154,PractiseSkiingAerials,653,rise to the sky
154,PractiseSkiingAerials,654,fall to the ground
155,SmashGarlic,365,peel off the garlics
155,SmashGarlic,366,cut up the garlics
155,SmashGarlic,367,pour some salt to the garlics
155,SmashGarlic,368,smash the garlics with the knife face
156,Sow,579,prepare the soil carefully
156,Sow,580,apply a cover on the soil
156,Sow,581,dig some holes on the soil
156,Sow,582,sow on the soil
156,Sow,583,cover with some soil
156,Sow,584,water and fertilize the seeds
157,AssembleOfficeChair,501,install the wheels for the base
157,AssembleOfficeChair,502,assemble the cushion and the backrest
157,AssembleOfficeChair,503,connect the chair and the base
158,TieBoatToDock,283,circle the rope under the bolt
158,TieBoatToDock,284,cross the rope to wrap the bolt
158,TieBoatToDock,285,strain the rope tightly
159,Transplant,388,trim the plant carefully
159,Transplant,389,take out the plant
159,Transplant,390,put in the plant
159,Transplant,391,fill with some soil
160,PractiseTripleJump,167,begin to run up
160,PractiseTripleJump,168,do the first two jumps
160,PractiseTripleJump,169,do the third jump
161,ReplaceTyreValveStem,566,deflate the tyre first
161,ReplaceTyreValveStem,567,remove the air nozzle
161,ReplaceTyreValveStem,568,install the new air nozzle
161,ReplaceTyreValveStem,569,inflate the tyre after replacement
162,UnclogSinkWithBakingSoda,487,add baking soda to the sink hole
162,UnclogSinkWithBakingSoda,488,add vinegar to the sink hole
162,UnclogSinkWithBakingSoda,489,add hot water to the sink hole
162,UnclogSinkWithBakingSoda,490,turn on the water tap to wash
163,UseVendingMachine,519,insert money into the vending machine
163,UseVendingMachine,520,press the corresponding button
163,UseVendingMachine,521,take out the goods
164,UseEarplugs,660,roll and rub the earplugs
164,UseEarplugs,661,pull the ears outwards
164,UseEarplugs,662,insert the earplugs into the ears
165,MakeSlimeWithGlue,670,add different kinds of ingredients
165,MakeSlimeWithGlue,671,mix the raw materials
165,MakeSlimeWithGlue,672,rub and drag the materials
166,RemoveBlackheadsWithGlue,229,pour some glue to the face
166,RemoveBlackheadsWithGlue,230,wipe the glue to a layer
166,RemoveBlackheadsWithGlue,231,reveal the glue from the face
167,UseJack,110,raise the jack up
167,UseJack,111,set the underprop
167,UseJack,112,remove the underprop
167,UseJack,113,let the jack down
168,UseRiceCookerToCookRice,217,take out some rice
168,UseRiceCookerToCookRice,218,soak and wash the rice
168,UseRiceCookerToCookRice,219,put the washed rice into the rice cooker
168,UseRiceCookerToCookRice,220,cook the rice by rice cooker
169,UseSoyMilkMaker,198,pour some soy beans
169,UseSoyMilkMaker,199,pour some water to the soy milk maker
169,UseSoyMilkMaker,200,run the soy milk maker
169,UseSoyMilkMaker,201,filtrate with a filter
169,UseSoyMilkMaker,202,pour into a glass
170,UseTappingGun,429,insert the gun head
170,UseTappingGun,430,remove the protecting cover of the gun head
170,UseTappingGun,431,insert the glue needle
170,UseTappingGun,432,hold the gun end and let the gun head aim at the tag brand
170,UseTappingGun,433,trigger and take out the needle head
171,UseToaster,267,put a slice of bread in
171,UseToaster,268,run the toaster and adjust
171,UseToaster,269,take out the slice of bread
172,PerformVanishingGlassTrick,767,show the glass to the audience
172,PerformVanishingGlassTrick,768,block out the glass
172,PerformVanishingGlassTrick,769,show the vanished glass
173,UseVolumetricFlask,279,pour the solution to the volumetric flask
173,UseVolumetricFlask,280,fill the solution to the mark
173,UseVolumetricFlask,281,seal the volumetric flask
173,UseVolumetricFlask,282,invert the volumetric flask
174,WashDog,730,use the body wash
174,WashDog,731,wash the body wash away
175,WashHair,509,wet and wash the hair
175,WashHair,510,apply the shampoo or hair conditioner
175,WashHair,511,scratch the hair carefully
175,WashHair,512,make the hair dry
175,WashHair,513,comb the hair with a comb
175,WashHair,514,wrap the hair by hands
175,WashHair,515,pin the hair with some hairpins
176,WearContactLenses,570,wet and wash hands
176,WearContactLenses,571,add some cleaner to clean and wet the lenses and take out the lenses
176,WearContactLenses,572,wear the  contact lenses
177,WearShinGuards,286,put on the shin guard sleeves or football socks
177,WearShinGuards,287,insert or put on the shin guard
177,WearShinGuards,288,wrap on the tape
178,PractiseWeightLift,454,squat and hold the barbell
178,PractiseWeightLift,455,pull the barbell to the chin
178,PractiseWeightLift,456,lift the barbell from the chin over the head
178,PractiseWeightLift,457,stand up with straight legs
178,PractiseWeightLift,458,lift the barbell directly over the head
178,PractiseWeightLift,459,put down the barbell
179,WrapGiftBox,30,measure the size of the packing paper
179,WrapGiftBox,31,cut the packing paper
179,WrapGiftBox,32,stick with the tape and wrap
179,WrapGiftBox,33,decorate the wrapped gift
